,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people)
12182,54.6,1200,Chromepet,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12183,44.72,983,Sembakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12184,48.5,1066,Sembakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12185,51.81,942,Chromepet,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12186,43.72,795,Chromepet,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12187,40.86999,865,Sembakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12188,60.33,1277,Madambakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12189,50.36,1066,Madambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12190,49.28,896,Chromepet,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12191,38.0,800,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12192,46.78,985,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12193,69.63,1266,Chromepet,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12194,51.97,1100,Sembakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12195,60.5,1100,Chitlapakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12196,41.08,865,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12197,61.75,1300,Selaiyur,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12198,51.97,1100,Madambakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12199,37.79999,800,Rajakilpakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12200,40.86999,865,Madambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12201,60.33,1277,Rajakilpakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12202,41.08,865,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12203,38.0,800,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12204,37.19,783,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12205,28.5,600,Selaiyur,1.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,2.0
12206,61.75,1300,tambaram west,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12207,57.0,1200,tambaram west,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12208,52.25,1100,tambaram west,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12209,46.78,985,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
