,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people),clusters
186,130.0,1700,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
187,130.0,1700,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
188,180.0,1900,Sector 13 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0,2
189,190.0,1900,Sector 13 Dwarka,4.0,1,0.0,1.0,0.0,0.0,0.0,Delhi,1,1,8.0,4
190,195.0,1900,Sector 7 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
191,185.0,1800,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,2
192,145.0,1800,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
193,145.0,1800,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
194,145.0,1800,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
195,158.0,1800,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0,2
196,145.0,1800,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
197,190.0,2000,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0,2
198,170.0,1900,Sector 10 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,2
199,137.99999,1700,Sector 9 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
200,158.0,1700,Sector 9 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
